participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
1000,001,2024-02-12_09h36.40.864,choiceRTT,2023.1.3,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,
1000,001,2024-02-12_09h36.40.864,choiceRTT,2023.1.3,Win32,60.97560976,c,1,2.3928,,,,,,,,,1.2928,space,4.0569,,0,0,0,0,1,1.1,images/target_cross.jpg
1000,001,2024-02-12_09h36.40.864,choiceRTT,2023.1.3,Win32,60.97560976,b,1,2.6199,,,,,,,,,1.1199,space,1.5979,,0,1,1,4,1,1.5,images/target_plus.jpg
1000,001,2024-02-12_09h36.40.864,choiceRTT,2023.1.3,Win32,60.97560976,c,1,2.0636,,,,,,,,,0.7636,space,1.5765,,0,2,2,3,1,1.3,images/target_cross.jpg
1000,001,2024-02-12_09h36.40.864,choiceRTT,2023.1.3,Win32,60.97560976,v,1,2.2043,,,,,,,,,0.7043,space,1.5316,,0,3,3,2,1,1.5,images/target_square.jpg
1000,001,2024-02-12_09h36.40.864,choiceRTT,2023.1.3,Win32,60.97560976,v,1,1.9214,,,,,,,,,0.6214,space,1.0149,,0,4,4,8,1,1.3,images/target_square.jpg
1000,001,2024-02-12_09h36.40.864,choiceRTT,2023.1.3,Win32,60.97560976,b,1,1.855,,,,,,,,,0.755,space,1.3865,,0,5,5,7,1,1.1,images/target_plus.jpg
1000,001,2024-02-12_09h36.40.864,choiceRTT,2023.1.3,Win32,60.97560976,c,1,2.121,,,,,,,,,0.621,space,1.0833,,0,6,6,6,1,1.5,images/target_cross.jpg
1000,001,2024-02-12_09h36.40.864,choiceRTT,2023.1.3,Win32,60.97560976,v,1,1.8272,,,,,,,,,0.7272,space,0.7934,,0,7,7,5,1,1.1,images/target_square.jpg
1000,001,2024-02-12_09h36.40.864,choiceRTT,2023.1.3,Win32,60.97560976,b,1,2.0581,,,,,,,,,0.7581,space,0.8285,,0,8,8,1,1,1.3,images/target_plus.jpg
