participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
sp,001,2024-01-09_18h18.17.868,choiceRTT,2023.1.3,Win32,58.13953488,,,,,,,,,,,,,,,,,,,,,,
sp,001,2024-01-09_18h18.17.868,choiceRTT,2023.1.3,Win32,58.13953488,b,1,1.8867,,,,,,,,,0.7867,b,5.6659,,0,0,0,7,1,1.1,images/target_plus.jpg
sp,001,2024-01-09_18h18.17.868,choiceRTT,2023.1.3,Win32,58.13953488,v,1,1.9172,,,,,,,,,0.6172,b,2.9986,,0,1,1,8,1,1.3,images/target_square.jpg
sp,001,2024-01-09_18h18.17.868,choiceRTT,2023.1.3,Win32,58.13953488,v,1,2.0809,,,,,,,,,0.5809,b,1.001,,0,2,2,2,1,1.5,images/target_square.jpg
sp,001,2024-01-09_18h18.17.868,choiceRTT,2023.1.3,Win32,58.13953488,v,0,2.0923,,,,,,,,,0.5923,c,0.144,,0,3,3,6,1,1.5,images/target_cross.jpg
sp,001,2024-01-09_18h18.17.868,choiceRTT,2023.1.3,Win32,58.13953488,c,1,1.83,,,,,,,,,0.53,b,2.1626,,0,4,4,3,1,1.3,images/target_cross.jpg
sp,001,2024-01-09_18h18.17.868,choiceRTT,2023.1.3,Win32,58.13953488,c,0,2.3486,,,,,,,,,0.8486,b,0.8151,,0,5,5,4,1,1.5,images/target_plus.jpg
sp,001,2024-01-09_18h18.17.868,choiceRTT,2023.1.3,Win32,58.13953488,b,1,2.3298,,,,,,,,,1.0298,b,1.1316,,0,6,6,1,1,1.3,images/target_plus.jpg
sp,001,2024-01-09_18h18.17.868,choiceRTT,2023.1.3,Win32,58.13953488,b,0,0.5479,,,,,,,,,-0.5521,b,0.5676,,0,7,7,0,1,1.1,images/target_cross.jpg
sp,001,2024-01-09_18h18.17.868,choiceRTT,2023.1.3,Win32,58.13953488,b,0,0.4569,,,,,,,,,-0.6431,b,1.8909,,0,8,8,5,1,1.1,images/target_square.jpg
